yearID,teamID,G,W,L,WSWin
1871,BS1,31,20,10,
1871,CH1,28,19,9,
1871,CL1,29,10,19,
1871,FW1,19,7,12,
1871,NY2,33,16,17,
1871,PH1,28,21,7,
1871,RC1,25,4,21,
1871,TRO,29,13,15,
1871,WS3,32,15,15,
1872,BL1,58,35,19,
1872,BR1,29,3,26,
1872,BR2,37,9,28,
1872,BS1,48,39,8,
1872,CL1,22,6,16,
1872,MID,24,5,19,
1872,NY2,56,34,20,
1872,PH1,47,30,14,
1872,TRO,25,15,10,
1872,WS3,9,2,7,
1872,WS4,11,0,11,
1873,BL1,57,34,22,
1873,BL4,6,0,6,
1873,BR2,55,17,37,
1873,BS1,60,43,16,
1873,ELI,23,2,21,
1873,NY2,53,29,24,
1873,PH1,52,28,23,
1873,PH2,53,36,17,
1873,WS5,39,8,31,
1874,BL1,47,9,38,
1874,BR2,56,22,33,
1874,BS1,71,52,18,
1874,CH2,59,28,31,
1874,HR1,53,16,37,
1874,NY2,65,42,23,
1874,PH1,55,33,22,
1874,PH2,58,29,29,
1875,BR2,44,2,42,
1875,BS1,82,71,8,
1875,CH2,69,30,37,
1875,HR1,86,54,28,
1875,KEO,13,1,12,
1875,NH1,47,7,40,
1875,NY2,71,30,38,
1875,PH1,77,53,20,
1875,PH2,70,37,31,
1875,PH3,14,2,12,
1875,SL1,19,4,15,
1875,SL2,70,39,29,
1875,WS6,28,5,23,
1876,BSN,70,39,31,
1876,CHN,66,52,14,
1876,CN1,65,9,56,
1876,HAR,69,47,21,
1876,LS1,69,30,36,
1876,NY3,57,21,35,
1876,PHN,60,14,45,
1876,SL3,64,45,19,
1877,BSN,61,42,18,
1877,CHN,60,26,33,
1877,CN1,58,15,42,
1877,HAR,60,31,27,
1877,LS1,61,35,25,
1877,SL3,60,28,32,
1878,BSN,60,41,19,
1878,CHN,61,30,30,
1878,CN1,61,37,23,
1878,IN1,63,24,36,
1878,ML2,61,15,45,
1878,PRO,62,33,27,
1879,BFN,79,46,32,
1879,BSN,84,54,30,
1879,CHN,83,46,33,
1879,CL2,82,27,55,
1879,CN1,81,43,37,
1879,PRO,85,59,25,
1879,SR1,71,22,48,
1879,TRN,77,19,56,
1880,BFN,85,24,58,
1880,BSN,86,40,44,
1880,CHN,86,67,17,
1880,CL2,85,47,37,
1880,CN1,83,21,59,
1880,PRO,87,52,32,
1880,TRN,83,41,42,
1880,WOR,85,40,43,
1881,BFN,83,45,38,
1881,BSN,83,38,45,
1881,CHN,84,56,28,
1881,CL2,85,36,48,
1881,DTN,84,41,43,
1881,PRO,85,47,37,
1881,TRN,85,39,45,
1881,WOR,83,32,50,
1882,BFN,84,45,39,
1882,BL2,74,19,54,
1882,BSN,85,45,39,
1882,CHN,84,55,29,
1882,CL2,84,42,40,
1882,CN2,80,55,25,
1882,DTN,86,42,41,
1882,LS2,79,42,38,
1882,PH4,75,41,34,
1882,PRO,84,52,32,
1882,PT1,79,39,39,
1882,SL4,79,37,43,
1882,TRN,85,35,48,
1882,WOR,84,18,66,
1883,BFN,98,52,45,
1883,BL2,96,28,68,
1883,BSN,98,63,35,
1883,CHN,98,59,39,
1883,CL2,100,55,42,
1883,CL5,97,32,65,
1883,CN2,98,61,37,
1883,DTN,101,40,58,
1883,LS2,98,52,45,
1883,NY1,98,46,50,
1883,NY4,97,54,42,
1883,PH4,98,66,32,
1883,PHI,99,17,81,
1883,PRO,98,58,40,
1883,PT1,98,31,67,
1883,SL4,98,65,33,
1884,ALT,25,6,19,
1884,BFN,114,64,47,N
1884,BL2,108,63,43,N
1884,BLU,105,58,47,
1884,BR3,109,40,64,N
1884,BSN,116,73,38,N
1884,BSU,109,58,51,
1884,CHN,112,62,50,N
1884,CHU,92,41,50,
1884,CL2,113,35,77,N
1884,CL5,110,69,39,N
1884,CN2,112,68,41,N
1884,CNU,103,69,36,
